,2021-10-27 00:40:00,2021-10-27 00:50:00,2021-10-27 01:00:00,2021-10-27 01:10:00,2021-10-27 01:20:00,2021-10-27 01:30:00,2021-10-27 01:40:00,2021-10-27 01:50:00,2021-10-27 02:00:00,2021-10-27 02:10:00,2021-10-27 02:20:00,2021-10-27 02:30:00,2021-10-27 02:40:00,2021-10-27 02:50:00,2021-10-27 03:00:00,2021-10-27 03:10:00,2021-10-27 03:20:00,2021-10-27 03:30:00,2021-10-27 03:40:00,2021-10-27 03:50:00,2021-10-27 04:00:00,2021-10-27 04:10:00,2021-10-27 04:20:00,2021-10-27 04:30:00,2021-10-27 04:40:00
MODEM__14_IN_std,0.0008814988,0.00095503195,0.00094011304,0.0007177538,0.0008032976,0.0010468203,0.00081668154,0.0011520615,-2.134131e-05,-2.4773193e-05,-0.0005044206,0.0005511444,1.0944761e-05,0.0005770587,-0.00013099835,-0.00016328912,3.7049023e-05,-0.00016454647,1.1267439e-05,-0.00013238276,-7.846204e-05,-2.8117192e-05,-8.5682324e-05,-8.229207e-05,-6.8610716e-05
MODEM__14_IN_min,0.0019673898,0.0021042093,0.0019947335,0.0023326378,0.0023995158,0.0023710642,0.0020371869,0.0032252981,-0.0006176283,-0.00054210826,-0.00050613086,0.0017760261,0.0016560847,0.0016980229,-0.00049765175,-0.0005008189,0.0002284335,0.00033945692,-0.00044262517,-0.00046147907,-0.00052111346,-0.000632683,-0.000604187,-0.0007453512,-0.0008461759
MODEM__14_IN_max,-4.185032e-05,0.00041605686,0.00040931944,0.0003338981,0.00023087343,0.00020188249,0.0004782975,0.00059273356,0.0003941688,0.0003061235,0.00023498772,0.00025214028,0.0002680572,-5.916348e-05,-5.763911e-05,2.3483104e-05,-7.8576355e-05,-0.00012628803,-4.3818036e-05,-6.724601e-05,6.5319415e-05,-6.0005437e-05,-9.013122e-05,-6.663084e-05,-1.9485838e-05
MODEM__14_OUT_mean,0.0041039437,0.0041795685,0.003913333,0.004032983,0.0037703323,0.0039673224,0.005931716,0.0034748747,0.0036899538,0.00376109,0.0040433477,0.0029065402,0.006093664,0.0058070873,0.004376823,0.0037950724,0.00439149,0.004494588,0.0037713503,0.0038977852,0.0039610327,-0.0019270297,-0.0017715654,-0.0017637041,-0.0018549621
MODEM__14_OUT_std,-3.9672257e-05,-9.970905e-05,-0.00010255931,-5.252423e-05,-6.9226124e-05,-9.667538e-05,2.043617e-05,8.336198e-05,-0.0001510464,-9.694462e-05,-0.00021433223,-0.0004449086,-0.00034890158,-0.00049014046,-0.00021046809,-0.0002725546,-0.00011876057,-0.00011262213,-8.0138e-06,-0.00012579,-4.3449716e-05,-0.00013168374,-0.0001686554,-4.8005328e-05,-8.106445e-05
MODEM__14_OUT_min,0.0063050673,0.006285213,0.00623574,0.0061152023,0.00610151,0.0059710336,0.0065411585,0.0056279963,0.0060700234,0.005861486,0.0070444606,0.0077932025,0.007564304,0.007905459,0.0060599097,0.0068336255,0.0059229354,0.0064598303,0.0062052226,0.0060234996,0.002588252,-0.002720001,-0.0027166607,-0.001959562,-0.0020604494
MODEM__14_OUT_max,0.00058571855,0.00053815957,0.00057621294,0.0005168923,0.0005492545,0.0005882442,0.0010723467,0.001076693,0.0005902057,0.00047955217,0.0001509094,9.789349e-05,5.4249587e-05,-8.9084075e-05,0.0004768008,0.000415668,0.00054300105,6.6797315e-05,3.771602e-05,0.0004350971,0.00045178077,-0.0002599658,-0.00028664485,-0.00027648368,-0.0001291637
MODEM__16_IN_mean,0.00033858442,0.00013489618,-0.00038044003,1.9679566e-05,-0.00041827385,-0.00043674465,-0.00052685174,2.741623e-05,0.00044613576,-0.00045272923,-0.0005168262,0.00339718,0.0033887678,0.0032023212,-0.0005697948,-0.0009867535,0.00044072798,0.0005448289,0.00057215197,-0.0006539499,-0.00051208044,-0.00013951301,-0.00027989835,-0.0002229328,-0.00018075897
MODEM__16_IN_std,-8.2644656e-05,-8.5548236e-05,-6.575016e-05,-6.8355526e-05,-5.7761892e-05,-9.7109245e-05,-7.381584e-05,-9.1168644e-05,-9.552388e-05,-5.492676e-05,-0.00019672993,0.0038238363,0.0030494914,0.0027449415,-0.00014027346,-0.0003105269,-0.00025308246,-0.00023926012,-0.00018317955,-0.00015840693,-6.092108e-05,-0.00010436547,-9.254005e-05,-0.00011980864,-9.8268574e-05
MODEM__16_IN_min,-0.0001622185,-0.00014315773,-0.00015568177,-7.935309e-05,-0.0002348632,-0.00023524002,-0.0002217349,-9.353343e-05,-9.9286146e-05,-0.00022242453,0.00014409873,0.0030931006,0.003176786,0.0027905875,-0.00028181745,-0.00029232897,0.00021967226,0.00054580334,0.0008011385,-0.0003067837,-0.00034166963,-0.0002588791,-0.00016810004,-0.00020276025,-0.0002820732
MODEM__16_IN_max,0.00020128295,9.767024e-05,-3.87827e-05,-2.8678336e-05,5.781584e-06,-6.557904e-05,-4.577381e-05,0.000106564374,0.00041822752,0.00030827726,-0.00014585341,-0.00026257528,3.8996557e-05,-0.00019743024,-9.277345e-05,-6.311398e-05,-7.229436e-05,-0.00021554339,-0.00012371883,-0.00012903589,-6.569613e-05,-0.00011110766,-0.000103279264,-0.00011311489,-4.952904e-05
MODEM__16_OUT_mean,-0.00043814632,-0.00034900685,-7.8665274e-05,-0.0003066542,-0.00027567786,-0.0002726967,-0.00016995259,-0.00015366633,-0.00025617177,-4.9574526e-05,-0.00032247405,0.0031926166,0.0024864473,0.0031444875,0.002200953,0.0017227896,0.0021860483,0.0025656817,0.0027776922,0.0012476515,9.393522e-05,-0.00037692365,-0.00025223207,-0.00015903206,0.00016780426
MODEM__16_OUT_std,-8.44175e-05,-0.00022129825,-0.00012119081,-9.723091e-05,-6.709546e-05,2.8227349e-05,9.398712e-05,-0.00011235895,8.199144e-05,-0.00018847598,0.00015798859,0.0029232316,0.0019931262,0.0020752044,8.444205e-05,0.00072692917,6.736453e-05,0.0008200446,-6.348873e-05,-0.00015483589,-0.0001867019,-0.00013252703,-0.00010564165,-0.00013117754,-0.000109768065
MODEM__16_OUT_min,-0.0011270888,-0.0005452202,-0.00062507926,-0.0006714052,-0.000617845,-0.00083229167,-0.0010187674,-0.0012612998,-0.0007951905,-0.0011034884,0.0070728557,0.008065641,0.007467269,0.00728155,0.0053771236,0.005243782,0.0044819145,0.0059810043,0.0061115217,-0.0010775026,-0.0010694772,-0.0011198939,-0.0014047215,-0.0008963043,-0.0011579812
MODEM__16_OUT_max,-3.143303e-05,-4.7186724e-05,-4.8563434e-05,-1.1277502e-05,-5.9351332e-05,-3.78045e-05,-4.869066e-05,0.00016328818,-3.2132408e-05,-2.3341747e-05,-6.444016e-05,-1.0670001e-05,-3.9379942e-05,-0.00012509794,1.0523997e-06,-1.7919125e-05,-8.595779e-06,-8.659882e-05,-3.2352888e-05,-1.5383763e-05,-5.604226e-05,-4.2655207e-05,-4.4766944e-05,-1.8833105e-05,4.9679198e-05
