t,pre,post,drop_pct,since_prev_s,recovery_s,r1_drop,r2_ping,r3_slow,anomalous
2021-11-04 21:34:30+00:00,222.77014166666666,230.0374277777778,-0.03262235260408126,1260.0,0.0,0,0,0,0
2021-11-04 21:37:20+00:00,229.13320833333333,219.33055000000002,0.042781482460075446,170.0,0.0,1,1,0,1
2021-11-04 21:58:30+00:00,221.37261666666666,232.31667777777778,-0.04943728486342202,1270.0,0.0,0,0,0,0
2021-11-04 22:03:20+00:00,224.99496666666667,215.62248888888888,0.0416563886589661,290.0,0.0,0,0,0,0
2021-11-04 22:18:10+00:00,222.31041666666667,220.2602722222222,0.009221990022709852,890.0,0.0,0,0,0,0
2021-11-04 22:25:20+00:00,239.82554166666668,231.81778888888888,0.03338990802284006,430.0,0.0,0,0,0,0
2021-11-04 22:46:30+00:00,219.33176666666665,227.39829999999998,-0.03677777029714342,1270.0,0.0,0,0,0,0
2021-11-04 22:49:40+00:00,224.76207499999998,213.18221666666665,0.05152051712164223,190.0,0.0,1,1,0,1
2021-11-04 23:10:10+00:00,222.596525,225.91618333333332,-0.014913343024260185,1230.0,0.0,0,0,0,0
2021-11-04 23:12:40+00:00,228.75344166666665,225.5002833333333,0.014221243228653847,150.0,0.0,0,1,0,1
2021-11-04 23:34:50+00:00,215.39305000000002,230.97443888888893,-0.07233932983858536,1330.0,0.0,0,0,0,0
2021-11-04 23:39:10+00:00,216.9616666666667,217.55928333333335,-0.002754480438172578,260.0,0.0,0,0,0,0
2021-11-04 23:58:20+00:00,224.87260833333337,230.1990833333333,-0.023686633243051043,1150.0,0.0,0,0,0,0
2021-11-05 00:02:10+00:00,227.85067500000002,226.6391,0.00531740799100117,230.0,0.0,0,0,0,0
2021-11-05 00:19:10+00:00,217.3477916666667,212.7443722222222,0.02117996879169802,1020.0,0.0,0,0,0,0
2021-11-05 00:20:30+00:00,207.34431666666669,226.43612777777778,-0.09207781249101561,80.0,0.0,0,0,0,0
2021-11-05 00:22:30+00:00,221.95141666666666,231.5392611111111,-0.04319794209218208,120.0,0.0,0,0,0,0
2021-11-05 00:26:50+00:00,223.2577666666667,215.58103333333332,0.034385067305609404,260.0,0.0,0,0,0,0
2021-11-05 00:46:30+00:00,226.69125,227.45368333333332,-0.003363311699650162,1180.0,0.0,0,0,0,0
2021-11-05 00:51:10+00:00,225.9118083333333,224.45969444444444,0.006427791002169649,280.0,0.0,0,0,0,0
2021-11-05 01:10:30+00:00,223.54306666666665,233.53703888888887,-0.044707144673489733,1160.0,0.0,0,0,0,0
2021-11-05 01:15:30+00:00,221.8204083333333,217.75427222222223,0.018330757488286706,300.0,0.0,0,0,0,0
2021-11-05 01:24:20+00:00,191.7590041666667,190.40600277777776,0.0070557385024433315,530.0,0.0,0,0,0,0
2021-11-05 01:25:50+00:00,177.0828866666667,211.18689972222222,-0.19258785361767608,90.0,0.0,0,0,0,0
2021-11-05 01:34:30+00:00,222.6013916666667,229.8340611111111,-0.03249157334683215,520.0,0.0,0,0,0,0
2021-11-05 01:38:40+00:00,223.12569166666663,214.15047222222225,0.04022494844678261,250.0,0.0,0,0,0,0
2021-11-05 01:58:30+00:00,227.95136666666667,232.31889444444445,-0.019159910474081155,1190.0,0.0,0,0,0,0
2021-11-05 02:02:40+00:00,234.78820833333336,225.88924444444444,0.03790209036501051,250.0,0.0,0,0,0,0
2021-11-05 02:22:50+00:00,227.459025,236.03146666666666,-0.03768785022562487,1210.0,0.0,0,0,0,0
2021-11-05 02:27:20+00:00,228.5006833333333,218.49988333333332,0.043767046356754144,270.0,0.0,1,0,0,1
2021-11-05 02:46:30+00:00,229.43194166666663,234.2351,-0.020935002765707717,1150.0,0.0,0,0,0,0
2021-11-05 02:49:30+00:00,232.54987500000001,223.4176888888889,0.03926979582814701,180.0,0.0,0,1,0,1
2021-11-05 03:10:30+00:00,218.42444166666664,232.03248888888888,-0.06230093627978329,1260.0,0.0,0,0,0,0
2021-11-05 03:16:00+00:00,222.27778333333333,216.73146666666665,0.024952186329613015,330.0,0.0,0,0,0,0
2021-11-05 03:20:10+00:00,213.6138583333333,218.7953722222222,-0.024256450069842464,250.0,0.0,0,0,0,0
2021-11-05 03:21:50+00:00,217.94860000000003,214.5662166666667,0.015519178986849819,100.0,0.0,0,1,0,1
2021-11-05 03:34:30+00:00,219.34385833333332,230.96991111111114,-0.05300377619924012,760.0,0.0,0,0,0,0
2021-11-05 03:39:00+00:00,226.14444166666667,215.51989444444445,0.04698124412839929,270.0,0.0,1,0,0,1
2021-11-05 03:58:30+00:00,213.69586666666666,229.25676666666666,-0.0728179737059335,1170.0,0.0,0,0,0,0
2021-11-05 04:07:10+00:00,215.12904166666667,222.40055555555557,-0.03380070785680256,520.0,0.0,0,0,0,0
